À­ÂüÎ»ÒÆ,Count
162.634,9308
165.535,8751.5
168.435,8375.5
171.333,8042.5
174.228,7850.5
177.121,7675
180.011,7698
182.899,7920
185.786,8250.5
188.669,8763
191.551,9340.5
194.43,9990
197.307,10939.5
200.182,11906
203.055,12862
205.925,13574
208.793,13502
211.659,13098
214.523,12250.5
217.385,10874.5
220.244,9274.5
223.101,8008.5
225.956,6982.5
228.808,6260.5
231.659,5717
234.507,5375
237.353,5079
240.196,4828.5
243.038,4660.5
245.877,4523
248.714,4454
251.549,4227
254.382,4133.5
257.213,4128
260.041,4030
262.867,3971
265.691,3966.5
268.513,3942
271.333,3848
274.15,3863.5
276.965,3848.5
279.778,3805.5
282.589,3843
285.398,3887.5
288.205,3856.5
291.009,3862
293.811,3969
296.612,4009
299.409,3996.5
302.205,4136.5
304.999,4319.5
307.79,4574.5
310.58,5146.5
313.367,5891
316.152,6927
318.935,7978
321.716,8750.5
324.494,9132
327.271,9087
330.045,8684.5
332.818,7760
335.588,6819
338.356,5828
341.122,5151.5
343.885,4525.5
346.647,4103
349.407,3850
352.164,3803
354.919,3727.5
357.673,3683
360.424,3827
363.173,3801.5
365.92,3976
368.665,4136
371.407,4345
374.148,4846
376.886,6054.5
379.623,7688
382.357,9425
385.089,10488.5
387.82,10752.5
390.548,10147
393.274,9062.5
395.998,7362.5
398.72,5923
401.44,5050
404.157,4590.5
406.873,4439.5
409.587,4216
412.298,4081
415.008,3851.5
417.715,3585.5
420.42,3399
423.124,3338.5
425.825,3270
428.524,3169.5
431.221,3231.5
433.917,3302.5
436.61,3234.5
439.301,3376
441.99,3469
444.677,3533.5
447.362,3800
450.045,4319.5
452.726,4798.5
455.404,5303
458.081,5729
460.756,5945.5
463.429,5993
466.1,5597
468.769,5197.5
471.435,4614
474.1,4083.5
476.763,3793
479.424,3574
482.082,3475
484.739,3327.5
487.394,3379.5
490.046,3564
492.697,3961.5
495.346,4544.5
497.993,4979
500.637,5053
503.28,4993
505.921,4751.5
508.56,4335.5
511.197,3671
513.831,3278
516.464,3093.5
519.095,2957.5
521.724,2969
524.351,2958.5
526.976,2869.5
529.599,2799.5
532.22,2775.5
534.839,2813.5
537.456,2801
540.072,2794
542.685,2739
545.296,2821.5
547.905,2841.5
550.513,2920
553.118,2862
555.722,2892.5
558.323,2898
560.923,2852.5
563.52,2948
566.116,2955
568.71,2989.5
571.302,2933.5
573.892,2897
576.48,2985.5
579.066,2964.5
581.65,2922
584.232,2942
586.812,3067.5
589.391,3222
591.967,3529.5
594.542,3902.5
597.114,4204
599.685,4492
602.254,4520
604.821,4465
607.386,4311
609.949,4174
612.51,4092
615.07,4305
617.627,4738
620.182,5174.5
622.736,5501.5
625.288,5732.5
627.838,5642.5
630.386,5387
632.932,5171.5
635.476,5024
638.018,5579.5
640.559,7026.5
643.097,8677
645.634,10001.5
648.169,10552
650.702,10480.5
653.233,9666
655.762,8124
