À­ÂüÎ»ÒÆ,Count
162.634,9946
165.535,9330
168.435,8859.5
171.333,8453.5
174.228,8173.5
177.121,7988.5
180.011,8109
182.899,8297.5
185.786,8671.5
188.669,9176.5
191.551,9781
194.43,10558.5
197.307,11531
200.182,12651
203.055,13804
205.925,14640
208.793,14866.5
211.659,14537
214.523,13414
217.385,11730.5
220.244,9950.5
223.101,8554.5
225.956,7334.5
228.808,6480.5
231.659,5892
234.507,5421
237.353,5134
240.196,4873
243.038,4638.5
245.877,4428.5
248.714,4322.5
251.549,4200
254.382,4116.5
257.213,3987
260.041,3944
262.867,3910
265.691,3739.5
268.513,3710
271.333,3750
274.15,3695.5
276.965,3730
279.778,3728.5
282.589,3731.5
285.398,3681.5
288.205,3693.5
291.009,3727.5
293.811,3798.5
296.612,3806.5
299.409,3875.5
302.205,3995.5
304.999,4182
307.79,4461
310.58,4998
313.367,5785.5
316.152,6850.5
318.935,8214
321.716,9131
324.494,9589.5
327.271,9809
330.045,9308.5
332.818,8186.5
335.588,6930
338.356,5995.5
341.122,5105.5
343.885,4389.5
346.647,3902
349.407,3673.5
352.164,3579
354.919,3565
357.673,3487.5
360.424,3573
363.173,3677.5
365.92,3738.5
368.665,3925
371.407,4209
374.148,4626.5
376.886,5738
379.623,7685
382.357,9836
385.089,11319.5
387.82,11746.5
390.548,11465.5
393.274,10020.5
395.998,7930
398.72,5958.5
401.44,4867
404.157,4571.5
406.873,4440.5
409.587,4246.5
412.298,4074
415.008,3814
417.715,3496
420.42,3230.5
423.124,3142
425.825,3154
428.524,3117.5
431.221,3117.5
433.917,3149
436.61,3164.5
439.301,3253.5
441.99,3438
444.677,3576.5
447.362,3815
450.045,4247.5
452.726,4843
455.404,5482.5
458.081,6089.5
460.756,6325
463.429,6239
466.1,6026.5
468.769,5508
471.435,4842
474.1,4224
476.763,3859.5
479.424,3644
482.082,3416.5
484.739,3412.5
487.394,3294
490.046,3457
492.697,3969.5
495.346,4666.5
497.993,5216
500.637,5381.5
503.28,5344
505.921,4949.5
508.56,4370.5
511.197,3684
513.831,3194
516.464,3039.5
519.095,2924
521.724,2911.5
524.351,2779.5
526.976,2784.5
529.599,2716.5
532.22,2669
534.839,2694.5
537.456,2594.5
540.072,2642.5
542.685,2597.5
545.296,2553.5
547.905,2632
550.513,2577
553.118,2663
555.722,2661.5
558.323,2756.5
560.923,2715.5
563.52,2760.5
566.116,2802.5
568.71,2777
571.302,2769
573.892,2812
576.48,2805.5
579.066,2821.5
581.65,2844.5
584.232,2896.5
586.812,3007
589.391,3202
591.967,3489
594.542,3901
597.114,4238.5
599.685,4524.5
602.254,4617.5
604.821,4604.5
607.386,4332
