À­ÂüÎ»ÒÆ,Count
162.634,10359.5
165.535,9891
168.435,9641.5
171.333,9318
174.228,9231
177.121,9098
180.011,9210
182.899,9552
185.786,9743
188.669,10210
191.551,10761
194.43,11542.5
197.307,12224.5
200.182,13174
203.055,14060
205.925,14857
208.793,14842.5
211.659,14516
214.523,13601
217.385,12145.5
220.244,10794.5
223.101,9610.5
225.956,8690.5
228.808,8114
231.659,7611
234.507,7141.5
237.353,6959
240.196,6580
243.038,6545
245.877,6454.5
248.714,6370
251.549,6261
254.382,6228.5
257.213,6092.5
260.041,6010.5
262.867,6041.5
265.691,5989
268.513,5916
271.333,5915.5
274.15,5959
276.965,5942
279.778,5858.5
282.589,5906.5
285.398,5846.5
288.205,5914.5
291.009,5844.5
293.811,5937.5
296.612,5955
299.409,6020
302.205,6059
304.999,6208
307.79,6563.5
310.58,6973.5
313.367,7625.5
316.152,8592
318.935,9645.5
321.716,10354.5
324.494,10722
327.271,10815.5
330.045,10379
332.818,9457.5
335.588,8390
338.356,7637.5
341.122,7009
343.885,6387.5
346.647,6001
349.407,5891.5
352.164,5647
354.919,5690
357.673,5725
360.424,5779.5
363.173,5766
365.92,5860.5
368.665,5972
371.407,6212.5
374.148,6661
376.886,7589.5
379.623,9373
382.357,11049
385.089,12164.5
387.82,12361
390.548,11979.5
393.274,10700
395.998,8919.5
398.72,7519.5
401.44,6785.5
404.157,6381.5
406.873,6278
409.587,6150.5
412.298,6009
415.008,5757
417.715,5540
420.42,5396
423.124,5299.5
425.825,5278
428.524,5208
431.221,5297
433.917,5207
436.61,5267
439.301,5288.5
441.99,5455
444.677,5625
447.362,5799
450.045,6160
452.726,6679
455.404,7198.5
458.081,7733.5
460.756,7955
463.429,7825
466.1,7608
468.769,7079
471.435,6479.5
474.1,6047
476.763,5707.5
479.424,5511.5
482.082,5415
484.739,5373.5
487.394,5239
490.046,5493
492.697,5934.5
495.346,6484
497.993,6933
500.637,7049.5
503.28,6910.5
505.921,6562
508.56,6083
511.197,5523
513.831,5151.5
516.464,4989.5
519.095,4923.5
521.724,4903.5
524.351,4854
526.976,4810.5
529.599,4830
532.22,4749
534.839,4664
537.456,4653.5
540.072,4639.5
542.685,4665.5
545.296,4676
547.905,4676
550.513,4739.5
553.118,4713
555.722,4757.5
558.323,4786.5
560.923,4807
563.52,4851
566.116,4820.5
568.71,4789
571.302,4839
573.892,4838
576.48,4888.5
579.066,4981
581.65,4956
584.232,4917.5
586.812,5064
589.391,5220
591.967,5378
594.542,5796.5
597.114,6049.5
599.685,6250
602.254,6200
604.821,6207
607.386,6087
609.949,5752
612.51,5680.5
615.07,5866
617.627,6308
620.182,6788
622.736,7150.5
625.288,7321
627.838,7289.5
630.386,7009
632.932,6707
635.476,6593
638.018,7059
640.559,8390
643.097,10141.5
645.634,11368
648.169,11861.5
650.702,11862.5
653.233,10910
655.762,9373
658.289,7849.5
660.815,6506
663.338,5772
665.86,5533.5
668.38,5606
670.898,5524.5
673.414,5629
675.929,5747.5
678.441,5898.5
680.952,5963.5
683.461,6014
685.968,6004
688.473,5921.5
690.976,5872
693.478,5795
695.977,5923
698.475,6100
700.971,6507
703.465,6904
705.957,7324
708.448,7538
710.937,7347
713.423,6968.5
715.908,6475
718.392,5961.5
720.873,5719.5
723.353,5519
725.83,5575.5
728.306,5624
730.78,5488
733.253,5443.5
735.723,5441
738.192,5284.5
740.659,5230
743.124,5123.5
745.587,4967
748.049,4924
750.509,4754.5
752.967,4705.5
755.423,4684.5
757.877,4676.5
760.33,4559.5
762.781,4544
765.23,4518.5
767.677,4560.5
770.122,4589
772.566,4651
775.008,4701.5
777.448,4868.5
779.886,5097.5
782.323,5659
784.758,6831
787.191,8499.5
789.622,10606
792.052,12159.5
794.48,13016.5
796.906,12956
799.33,12025
801.752,10427
804.173,8696
806.592,7290
809.009,6298
811.425,5917.5
813.839,5863.5
816.251,6002
818.661,6091
821.07,6293
823.477,6561
825.882,7049
828.285,7325.5
830.687,7427.5
833.086,7377
835.485,7200
837.881,6964.5
840.276,6922.5
842.669,7293
845.06,8598.5
847.45,11200.5
849.837,14319.5
852.223,17170.5
854.608,18724.5
856.991,18728.5
859.372,17097
861.751,14446
864.128,11331.5
866.504,8498
868.878,6554.5
871.251,5524
873.621,4850
875.991,4650
878.358,4304.5
880.724,4185.5
883.087,4089.5
885.45,4100.5
887.81,4026.5
890.169,4088.5
892.526,4049
894.882,4045
897.236,4052
899.588,3961.5
901.938,3992.5
904.287,3987
906.634,4015.5
908.98,4002
911.324,4062.5
913.666,3997
916.006,4009.5
918.345,3992.5
920.682,3967
923.017,3988
925.351,4031.5
927.683,3988.5
930.014,3946.5
932.343,3964.5
934.67,3922
936.995,4012
939.319,3968
941.641,4036.5
943.962,4021.5
946.281,4063.5
948.598,4068
950.913,3984.5
953.227,4083
955.54,4233.5
957.85,4470.5
960.159,5044.5
962.467,5554
964.773,5843.5
967.077,5871.5
969.379,5823.5
971.68,5452.5
973.979,4899.5
976.277,4540
978.573,4073.5
980.867,3960.5
983.16,3854
985.451,3866
987.741,3870.5
990.029,3852.5
992.315,3942.5
994.6,3991
996.883,4088
999.164,4197
1001.44,4291
1003.72,4363
1006,4464.5
1008.27,4746
1010.55,4792.5
1012.82,4846
1015.09,4894
1017.36,4789.5
1019.63,4684
1021.89,4504
1024.15,4366.5
1026.42,4217
1028.68,4166
1030.94,4093.5
1033.19,4148.5
1035.45,4082.5
1037.7,4038.5
1039.96,3968.5
1042.21,3913
1044.46,3922.5
1046.71,3792
1048.95,3855
1051.2,3758
1053.44,3727
1055.68,3584.5
1057.92,3567
1060.16,3623.5
1062.4,3577.5
1064.63,3591
1066.87,3599.5
1069.1,3572.5
1071.33,3547
1073.56,3549.5
1075.79,3516
1078.01,3602
1080.24,3589
1082.46,3583.5
1084.68,3613.5
1086.9,3712.5
1089.12,3723
1091.34,3867
1093.55,4065
1095.77,4411
1097.98,4761
1100.19,5039.5
1102.4,5099
1104.61,5124
1106.81,4867.5
1109.02,4622.5
1111.22,4364
1113.42,4166.5
1115.62,4007
1117.82,4004.5
1120.02,3939
1122.21,3939.5
1124.41,3824
1126.6,3743.5
1128.79,3724.5
1130.98,3720.5
1133.17,3658.5
1135.36,3630.5
1137.54,3564.5
1139.72,3638.5
1141.91,3646.5
1144.09,3650
1146.26,3669.5
1148.44,3717.5
1150.62,3782.5
1152.79,3902
1154.97,4333
1157.14,5182.5
1159.31,6726
1161.47,8169.5
1163.64,9157
1165.81,9544
1167.97,9316
1170.13,8388.5
1172.29,6910.5
1174.45,5649.5
1176.61,4638.5
1178.77,4053.5
1180.92,3844.5
1183.08,3771.5
1185.23,3790.5
1187.38,3720.5
1189.53,3730
1191.68,3781.5
1193.82,3757
1195.97,3838.5
1198.11,3896.5
1200.25,3943
1202.39,4075.5
1204.53,4279.5
1206.67,4540.5
1208.8,4806.5
1210.94,5124.5
1213.07,5497
1215.2,5932
1217.33,6295.5
1219.46,6799
1221.59,7352
1223.71,8217.5
1225.84,9367.5
1227.96,11029.5
1230.08,12472.5
1232.2,13478
1234.32,13808
1236.44,13330
1238.55,12023.5
1240.67,10448.5
1242.78,8820.5
1244.89,7707.5
1247,7160
1249.11,7088.5
1251.21,7162
1253.32,7160.5
1255.42,6974
1257.53,6636
1259.63,6242
1261.73,5899.5
1263.83,5854.5
1265.92,6156.5
1268.02,6843.5
1270.11,7695.5
1272.2,8464
1274.3,8748.5
1276.39,8806
1278.47,8258.5
1280.56,7473.5
1282.65,6525.5
1284.73,5742
1286.81,5204
1288.89,4814
1290.97,4598.5
1293.05,4585
1295.13,4557.5
1297.21,4619.5
1299.28,4759.5
1301.35,4832.5
1303.42,5009.5
1305.49,5406.5
1307.56,5997.5
1309.63,6961.5
1311.7,8544.5
1313.76,10549.5
1315.82,12722
1317.89,14580.5
1319.95,16000.5
1322.01,16343
1324.06,15945.5
1326.12,14545.5
1328.17,12771.5
1330.23,11058.5
1332.28,9347
1334.33,8110
1336.38,7105.5
1338.43,6521.5
1340.47,6080.5
1342.52,5787
1344.56,5798.5
1346.61,5703
1348.65,5753
1350.69,5897
1352.72,6193.5
1354.76,6522.5
1356.8,7014.5
1358.83,7679
1360.86,8285
1362.9,9135
1364.93,9702.5
1366.95,10234
1368.98,10206
1371.01,9919.5
1373.03,9277.5
1375.06,8401.5
1377.08,7621
1379.1,6933.5
1381.12,6287
1383.14,5768.5
1385.15,5358.5
1387.17,5128.5
1389.18,4890
1391.2,4801.5
1393.21,4651.5
1395.22,4509
1397.23,4424.5
1399.23,4327
1401.24,4264.5
1403.24,4208
1405.25,4170
1407.25,4222.5
1409.25,4140
1411.25,4128
1413.25,4158
1415.24,4213
1417.24,4283
1419.23,4291
1421.22,4337
1423.22,4407
1425.21,4384
1427.2,4415.5
1429.18,4488
1431.17,4545.5
1433.15,4565
1435.14,4591.5
1437.12,4716.5
1439.1,4666.5
1441.08,4723.5
1443.06,4598.5
1445.03,4543
1447.01,4424
1448.98,4257.5
1450.96,4202
1452.93,4053
1454.9,3987
1456.87,3840.5
1458.84,3744.5
1460.8,3691
1462.77,3603.5
1464.73,3525.5
1466.7,3462
1468.66,3430
1470.62,3380.5
1472.58,3368
1474.53,3306
1476.49,3248.5
1478.44,3261.5
1480.4,3198.5
1482.35,3176.5
1484.3,3218
1486.25,3166
1488.2,3135
1490.15,3204
1492.09,3303
1494.04,3421.5
1495.98,3451.5
1497.92,3621
1499.86,3646.5
1501.8,3753
1503.74,3983
1505.68,4015.5
1507.61,4073
1509.55,4061.5
1511.48,3981.5
1513.41,3832
1515.35,3739.5
1517.27,3516
1519.2,3373.5
1521.13,3236
1523.06,3227.5
1524.98,3115
1526.9,3108
1528.83,3135.5
1530.75,3080
1532.67,3122
1534.58,3228.5
1536.5,3279
1538.42,3327.5
1540.33,3495.5
1542.24,3683.5
1544.16,4145
1546.07,4530
1547.98,5006.5
1549.88,5621.5
1551.79,6243
1553.7,6792.5
1555.6,7054.5
1557.5,7143.5
1559.41,7100.5
1561.31,6730.5
1563.21,6288.5
1565.11,5632
1567,5236
1568.9,4758.5
1570.79,4320.5
1572.69,4058.5
1574.58,3796
1576.47,3682.5
1578.36,3579
1580.25,3502.5
1582.14,3567
1584.02,3575
1585.91,3673.5
1587.79,3820
1589.67,4115
1591.55,4555
1593.43,5131
1595.31,5914.5
1597.19,7016
1599.07,8203
1600.94,9476
1602.82,10766
1604.69,11427
1606.56,11981.5
1608.43,12188.5
1610.3,12077
1612.17,11648
1614.04,10915
1615.9,10162
1617.77,8978.5
1619.63,7752
1621.49,6703
1623.35,5863.5
1625.21,5267.5
1627.07,5015.5
1628.93,4928
1630.78,5172
1632.64,5467
1634.49,6163.5
1636.34,6967.5
1638.2,7859.5
1640.05,8822
1641.89,9457.5
1643.74,9788.5
1645.59,9766.5
1647.43,9459
1649.28,8755
1651.12,7847.5
1652.96,7077
1654.8,6256.5
1656.64,5424.5
1658.48,4695.5
1660.32,4088.5
1662.15,3668
1663.99,3313
1665.82,3088
1667.66,2818.5
1669.49,2775.5
1671.32,2645
1673.15,2534.5
1674.97,2481
1676.8,2440.5
1678.63,2408
1680.45,2282
