À­ÂüÎ»ÒÆ,Count
162.634,16198.5
165.535,15848
168.435,15602
171.333,15581
174.228,15405.5
177.121,15540
180.011,15707
182.899,16071
185.786,16341.5
188.669,16883.5
191.551,17446.5
194.43,18243.5
197.307,19024
200.182,20233.5
203.055,21147
205.925,21855
208.793,22125.5
211.659,21907.5
214.523,20808
217.385,19472.5
220.244,17946
223.101,16616
225.956,15734.5
228.808,14932
231.659,14354.5
234.507,13991
237.353,13810.5
240.196,13685.5
243.038,13423
245.877,13329
248.714,13275
251.549,13219
254.382,13089.5
257.213,13034
260.041,13038
262.867,12917
265.691,12894.5
268.513,13003
271.333,13013
274.15,13019.5
276.965,12992.5
279.778,12909
282.589,12973.5
285.398,13002
288.205,12977.5
291.009,12852
293.811,12889.5
296.612,12794.5
299.409,13020
302.205,12999
304.999,13229.5
307.79,13407
310.58,14009
313.367,14708.5
316.152,15986
318.935,16946
321.716,17624
324.494,18134.5
327.271,18045
330.045,17618
332.818,16636.5
335.588,15632.5
338.356,14747.5
341.122,14224
343.885,13563
346.647,13136.5
349.407,13091.5
352.164,12920
354.919,12800
357.673,12875.5
360.424,12863
363.173,12874
365.92,12929
368.665,13141.5
371.407,13380
374.148,13839
376.886,14776
379.623,16614.5
382.357,18464
385.089,19868
387.82,20009
390.548,19549
393.274,18157.5
395.998,16335
398.72,14630
401.44,13972.5
404.157,13752.5
406.873,13619.5
409.587,13477
412.298,13155.5
415.008,12925
417.715,12599.5
420.42,12417.5
423.124,12336
425.825,12316.5
428.524,12349
431.221,12226.5
433.917,12177
436.61,12198
439.301,12323.5
441.99,12480
444.677,12796
447.362,12917
450.045,13299.5
452.726,13932.5
455.404,14535
458.081,14971
460.756,15296.5
463.429,15188
466.1,14879.5
468.769,14257.5
471.435,13671
474.1,13025.5
476.763,12584.5
479.424,12489.5
482.082,12268
484.739,12229.5
487.394,12283
490.046,12501.5
492.697,12900.5
495.346,13591.5
497.993,13994.5
500.637,14087
503.28,14149
505.921,13731.5
508.56,13236
511.197,12607.5
513.831,12285.5
516.464,12070
519.095,12013.5
521.724,11920
524.351,11675
526.976,11784
529.599,11735
532.22,11863
534.839,11636
537.456,11606
540.072,11650.5
542.685,11567
545.296,11606
547.905,11695
550.513,11731
553.118,11758.5
555.722,11868.5
558.323,11972.5
560.923,12008
563.52,12174
566.116,12148
568.71,12028.5
571.302,12048.5
573.892,12095.5
576.48,12137
579.066,12153.5
581.65,12276
584.232,12222.5
586.812,12408.5
589.391,12412
591.967,12635.5
594.542,12969
597.114,13261.5
599.685,13563.5
602.254,13540
604.821,13385.5
607.386,13236
609.949,12938.5
612.51,12817.5
615.07,13006
617.627,13579
620.182,14015.5
622.736,14411
625.288,14535
627.838,14609
630.386,14385
632.932,13894
635.476,13863
638.018,14271
640.559,15701
643.097,17632
645.634,19024
648.169,19653.5
650.702,19431
653.233,18429
655.762,16751.5
658.289,14985.5
660.815,13512
663.338,12840.5
665.86,12697.5
668.38,12607.5
670.898,12680
673.414,12706
675.929,12757
678.441,12895
680.952,13057
683.461,13046.5
685.968,13120
688.473,13049
690.976,13100
693.478,12985.5
695.977,12926
698.475,13192.5
700.971,13576.5
703.465,14066.5
705.957,14514.5
708.448,14656
710.937,14454.5
713.423,14118.5
715.908,13554
718.392,13048
720.873,12662
723.353,12655
725.83,12662.5
728.306,12644.5
730.78,12670.5
733.253,12682.5
735.723,12627.5
738.192,12405.5
740.659,12374.5
743.124,12105.5
745.587,12001.5
748.049,11909
750.509,11774.5
752.967,11680
755.423,11548
757.877,11526.5
760.33,11460.5
762.781,11472.5
765.23,11362
767.677,11391.5
770.122,11512.5
772.566,11455
775.008,11646
777.448,11771.5
779.886,12096.5
782.323,12637
784.758,13850
787.191,15702
789.622,17927
792.052,19515
794.48,20577.5
796.906,20510.5
799.33,19362.5
801.752,17676.5
804.173,15661.5
806.592,14376.5
809.009,13339.5
811.425,12860.5
813.839,12867.5
816.251,12942.5
818.661,12964
821.07,13222.5
823.477,13614
825.882,13980
828.285,14242.5
830.687,14525.5
833.086,14314.5
835.485,14103
837.881,13869
840.276,13848.5
842.669,14172.5
845.06,15636
847.45,18290.5
849.837,21832
852.223,24852.5
854.608,26368.5
856.991,26371.5
859.372,24628
861.751,21622
864.128,18035
866.504,15235.5
868.878,13122
871.251,11991
873.621,11433.5
875.991,11087.5
878.358,10857.5
880.724,10690.5
883.087,10694.5
885.45,10619.5
887.81,10594
890.169,10583.5
892.526,10603.5
894.882,10546.5
897.236,10544
899.588,10440.5
901.938,10503.5
904.287,10451
906.634,10500
908.98,10419.5
911.324,10562.5
913.666,10425.5
916.006,10409
918.345,10465.5
920.682,10391.5
923.017,10409
925.351,10343.5
927.683,10266.5
930.014,10370
932.343,10363.5
934.67,10336.5
936.995,10327
939.319,10246.5
941.641,10390.5
943.962,10307
946.281,10338
948.598,10331
950.913,10278.5
953.227,10335.5
955.54,10431
957.85,10664.5
960.159,11228
962.467,11837.5
964.773,12198.5
967.077,12246.5
969.379,12090.5
971.68,11591
973.979,11219.5
976.277,10569.5
978.573,10204.5
980.867,10055.5
983.16,9892.5
985.451,9947.5
987.741,9979
990.029,10028.5
992.315,9969
994.6,10097
996.883,10111.5
999.164,10223.5
1001.44,10359.5
1003.72,10444
1006,10489
1008.27,10823.5
1010.55,10869.5
1012.82,11036
1015.09,10946
1017.36,10890
1019.63,10741.5
1021.89,10521.5
1024.15,10491.5
1026.42,10246.5
1028.68,10222.5
1030.94,10264
1033.19,10096
1035.45,10108
1037.7,10031
1039.96,9927.5
1042.21,9805
1044.46,9797
1046.71,9796.5
1048.95,9614.5
1051.2,9669
1053.44,9471
1055.68,9404.5
1057.92,9370
1060.16,9320
1062.4,9294.5
1064.63,9304.5
1066.87,9396.5
1069.1,9316.5
1071.33,9335
1073.56,9277.5
1075.79,9334.5
1078.01,9312.5
1080.24,9275.5
1082.46,9308
1084.68,9366
1086.9,9334
1089.12,9488.5
1091.34,9489.5
1093.55,9840
1095.77,10256.5
1097.98,10417.5
1100.19,10792.5
1102.4,10971
1104.61,10938
1106.81,10606.5
1109.02,10295
1111.22,10006.5
1113.42,9791.5
1115.62,9653.5
1117.82,9538
1120.02,9495
1122.21,9526
1124.41,9332.5
1126.6,9295
1128.79,9249
1130.98,9253
1133.17,9105
1135.36,9134.5
1137.54,9040.5
1139.72,9007.5
1141.91,9036.5
1144.09,9041.5
1146.26,9078.5
1148.44,9161.5
1150.62,9125
1152.79,9331.5
1154.97,9691
1157.14,10598
1159.31,12405
1161.47,13832
1163.64,15037
1165.81,15379
1167.97,15123
1170.13,14030
1172.29,12319.5
1174.45,10800
1176.61,9786
1178.77,9215
1180.92,8945
1183.08,8898
1185.23,8847.5
1187.38,8767
1189.53,8809
1191.68,8808.5
1193.82,8822
1195.97,8879
1198.11,8915
1200.25,8988
1202.39,9035
1204.53,9269
1206.67,9548.5
1208.8,9848
1210.94,10276
1213.07,10630
1215.2,11024.5
1217.33,11584
1219.46,11921
1221.59,12589
1223.71,13543
1225.84,14864.5
1227.96,16578.5
1230.08,18341.5
1232.2,19336.5
1234.32,19549.5
1236.44,19007.5
1238.55,17467.5
1240.67,15632
1242.78,13973.5
1244.89,12836
1247,12297.5
1249.11,12208
1251.21,12248
1253.32,12293.5
1255.42,12066
1257.53,11735
1259.63,11240.5
1261.73,10909.5
1263.83,10752.5
1265.92,11191
1268.02,11946.5
1270.11,12907.5
1272.2,13784.5
1274.3,14084.5
1276.39,13944
1278.47,13362.5
1280.56,12555
1282.65,11538.5
1284.73,10600.5
1286.81,9931.5
1288.89,9522
1290.97,9419
1293.05,9383.5
1295.13,9356.5
1297.21,9394
1299.28,9399.5
1301.35,9594
1303.42,9891.5
1305.49,10149.5
1307.56,10893.5
1309.63,11946
1311.7,13688
1313.76,15908
1315.82,18354
1317.89,20285
1319.95,21491.5
1322.01,22078.5
1324.06,21365
1326.12,19709.5
1328.17,17748
1330.23,15892
1332.28,14162
1334.33,12848
1336.38,11911.5
1338.43,11133.5
1340.47,10739
1342.52,10475
1344.56,10406.5
1346.61,10312
1348.65,10355
1350.69,10627.5
1352.72,10890
1354.76,11266.5
1356.8,11780
1358.83,12500
1360.86,13343.5
1362.9,14087.5
