À­ÂüÎ»ÒÆ,Count
162.634,15740
165.535,15309
168.435,15078.5
171.333,14959
174.228,14775.5
177.121,14904
180.011,15054.5
182.899,15389.5
185.786,15713
188.669,16159.5
191.551,16616
194.43,17473.5
197.307,18166.5
200.182,19362
203.055,20235
205.925,21016
208.793,21016
211.659,20890
214.523,20109
217.385,18755
220.244,17285.5
223.101,15990
225.956,15148.5
228.808,14410
231.659,13892.5
234.507,13474.5
237.353,13159.5
240.196,12994.5
243.038,12793
245.877,12790.5
248.714,12670
251.549,12616.5
254.382,12517
257.213,12756
260.041,12667
262.867,12647.5
265.691,12736.5
268.513,12879
271.333,13059.5
274.15,13138
276.965,13158
279.778,13149.5
282.589,13093
285.398,12718
288.205,12597
291.009,12477.5
293.811,12324.5
296.612,12350.5
299.409,12428.5
302.205,12390.5
304.999,12514.5
307.79,12796
310.58,13246.5
313.367,13933.5
316.152,14924
318.935,15870
321.716,16692.5
324.494,17080.5
327.271,17188
330.045,16746.5
332.818,15921.5
335.588,14924
338.356,14062.5
341.122,13383
343.885,12838
346.647,12277.5
349.407,12159
352.164,12126.5
354.919,11980.5
357.673,11939.5
360.424,12085
363.173,12001.5
365.92,12096
368.665,12217
371.407,12478
374.148,12941
376.886,13778.5
379.623,15496.5
382.357,17254
385.089,18488.5
387.82,18741.5
390.548,18441.5
393.274,17242
395.998,15529.5
398.72,13978
401.44,13018.5
404.157,12725
406.873,12576
409.587,12353.5
412.298,12187.5
415.008,11984
417.715,11647.5
420.42,11420
423.124,11431
425.825,11379.5
428.524,11288.5
431.221,11353
433.917,11374
436.61,11287
439.301,11375.5
441.99,11459.5
444.677,11704.5
447.362,11891.5
450.045,12191.5
452.726,12668
455.404,13351
458.081,13724.5
460.756,13976.5
463.429,13942.5
466.1,13686
468.769,13280.5
471.435,12749
474.1,12094.5
476.763,11795.5
479.424,11455
482.082,11426.5
484.739,11331.5
487.394,11246.5
490.046,11364.5
492.697,11739
495.346,12329
497.993,12862
500.637,13027
503.28,12889
505.921,12530.5
508.56,12210
511.197,11530.5
513.831,11156
516.464,10888.5
519.095,10887
521.724,10838
524.351,10773.5
526.976,10678.5
529.599,10715
532.22,10659.5
